Município;UF;População (Censo 2022);TGCA (% a.a.);PIB total (R$ mil);PIB per capita (R$);Quadrante;Linha — ponderação limitada (%);Distância da linha limitada (p.p.);Prioridade — limitada;Linha — ponderação integral (%);Distância da linha integral (p.p.);Prioridade — integral
Alagoinhas;BA;151055;0,55;5705227,49;37769,21;Grandes · crescendo;1,1953;-0,6453;Não prioritário;1,2566;-0,7066;Não prioritário
Amargosa;BA;36521;0,46;608765,198;16668,91;Pequenas · crescendo;1,5311;-1,0711;Não prioritário;1,6681;-1,2081;Não prioritário
Araci;BA;48294;-0,4;642812,114;13310,39;Pequenas · estagnadas;1,465;-1,865;Não prioritário;1,5871;-1,9871;Não prioritário
Barra;BA;51092;0,3;558492,724;10931,12;Pequenas · estagnadas;1,4516;-1,1516;Não prioritário;1,5708;-1,2708;Não prioritário
Barra do Choça;BA;36539;0,4;540749,955;14799,25;Pequenas · crescendo;1,5309;-1,1309;Não prioritário;1,6679;-1,2679;Não prioritário
Barreiras;BA;159734;1,26;9499498,974;59470,74;Grandes · crescendo;1,182;0,078;Prioritário;1,2404;0,0196;Prioritário
Bom Jesus da Lapa;BA;65550;0,36;1554154,439;23709,45;Grandes · crescendo;1,3927;-1,0327;Não prioritário;1,4986;-1,1386;Não prioritário
Brumado;BA;70510;0,75;1931839,323;27398,09;Grandes · crescendo;1,3755;-0,6255;Não prioritário;1,4774;-0,7274;Não prioritário
Caetité;BA;52012;0,51;1216743,242;23393,51;Pequenas · crescendo;1,4474;-0,9374;Não prioritário;1,5656;-1,0556;Não prioritário
Camamu;BA;30469;-0,9;557661,535;18302,59;Pequenas · estagnadas;1,5739;-2,4739;Não prioritário;1,7206;-2,6206;Não prioritário
Camaçari;BA;300372;1,78;27418877,532;91283,07;Grandes · crescendo;1,0327;0,7473;Prioritário;1,0574;0,7226;Prioritário
Campo Alegre de Lourdes;BA;30671;0,76;383421,237;12501,1;Pequenas · crescendo;1,5723;-0,8123;Não prioritário;1,7187;-0,9587;Não prioritário
Campo Formoso;BA;71377;0,52;1617786,003;22665,37;Grandes · crescendo;1,3726;-0,8526;Não prioritário;1,4739;-0,9539;Não prioritário
